"sample","latitude","longitude","date","time","site","location","successful.count","fov.Facing Up","fov.Limited","fov.Open","rowid","detailed.Consolidated.Cobbles.No biota","detailed.Consolidated.Cobbles.Turf mat","detailed.Consolidated.Rock.No biota","detailed.Consolidated.Rock.Turf mat","detailed.Consolidated.Rock.Veneer","detailed.Macroalgae.Articulated calcareous.","detailed.Macroalgae.Encrusting.Red","detailed.Macroalgae.Erect course branching.Brown","detailed.Macroalgae.Erect course branching.Green","detailed.Macroalgae.Erect course branching.Red","detailed.Macroalgae.Erect fine branching.Green","detailed.Macroalgae.Erect fine branching.Red","detailed.Macroalgae.Filamentous and filiform.","detailed.Macroalgae.Laminate.","detailed.Macroalgae.Large canopy-forming.Ecklonia radiata","detailed.Macroalgae.Large canopy-forming.Scytothalia dorycarpa","detailed.Macroalgae.Sheet-like membranous.","detailed.Macroalgae.Small mixed.","detailed.Octocoral/Black.Fan (2D).","detailed.Octocoral/Black.Massive soft corals.","detailed.Octocoral/Black.Whip.","detailed.Seagrasses.Strap-like leaves.Thalassodendrum sp.","detailed.Sponges.Crusts.","detailed.Sponges.Erect forms.","detailed.Sponges.Hollow forms.","detailed.Sponges.Massive forms.","detailed.Sponges.Small mixed.","detailed.Stony corals.Branching.Live","detailed.Stony corals.Columnar.Live","detailed.Stony corals.Foliose / plate.Live","detailed.Stony corals.Sub-massive.Live","detailed.Stony corals.Tabulate.Live","detailed.Unconsolidated.Pebble / gravel (gravel 2-10mm).","detailed.Unconsolidated.Pebble.gravel (gravel 2-10mm)","detailed.Unconsolidated.Pebble.gravel (pebble 10-64mm)","detailed.Unconsolidated.Sand.mud (coarse sand)"
"IO254",-34.01868897,114.6963721,20201029,08:51:00,"C.IO.49","South-west","No",0,5,95,125523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000796470044761617,0,0,0,0,0,0,0,0,0,0.0238941013428485
"IO239",-34.09118897,114.9313721,20201016,12:05:00,"C.IO.1","South-west","Yes",0,2.5,97.5,25766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504286434694907
"FH36",-33.69868897,114.9338721,20201017,08:59:00,"C.FH.5","South-west","No",0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO1",-34.07868897,114.7788721,20201015,12:07:00,"C.IO.43","South-west","Yes",0,2.5,97.5,114045,0,0,0,0.00350631136044881,0,0,0,0.000876577840112202,0,0,0,0.0017531556802244,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000876577840112202,0,0,0,0,0,0,0,0,0,0.0236676016830295
"IO357",-34.08496667,114.928,20201016,12:08:00,"C.IO.1","South-west","Yes",0,2.5,97.5,129830,0,0,0,0.00308028769887107,0,0,0,0,0,0,0.000770071924717769,0.00231021577415331,0,0,0.00231021577415331,0,0,0,0,0,0,0,0,0,0,0.00693064732245992,0,0,0,0,0,0,0,0,0,0.00616057539774215
"IO237",-34.08118897,114.9363721,20201016,12:15:00,"C.IO.1","South-west","Yes",0,0,100,27559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0507743082000508
"FH54",-33.76618897,114.9388721,20201017,09:20:00,"C.FH.9","South-west",NA,0,0,100,79097,0,0,0,0,0,0,0,0.0164315688356338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00758380100106173
"IO73",-34.02868897,114.8588721,20201019,09:22:00,"C.IO.60","South-west","Yes",0,0,100,172026,0,0,0,0.00348715564338022,0,0,0,0.00116238521446007,0,0,0.00290596303615018,0.00581192607230036,0,0,0.000581192607230036,0,0,0,0,0,0,0.00581192607230036,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IO4",-34.09118897,114.7813721,20201015,12:17:00,"C.IO.43","South-west","Yes",0,2.5,97.5,86838,0,0,0,0.00115141047783535,0,0,0,0,0.00115141047783535,0,0,0,0,0,0,0,0,0,0.0023028209556707,0,0,0,0,0.00575705238917674,0,0,0.0023028209556707,0,0,0,0,0,0,0,0,0.00115141047783535
"IO152",-33.98118897,114.8688721,20201013,12:18:00,"C.IO.37","South-west","Yes",0,12.1212121212121,87.8787878787879,124385,0,0.00723356373573381,0,0.00642983443176338,0,0,0,0.00241118791191127,0,0,0,0.000803729303970423,0,0,0.00321491721588169,0,0,0,0,0,0,0.00160745860794085,0,0,0,0.00241118791191127,0,0,0,0,0,0,0,0,0,0.00401864651985211
"IO218",-34.07368897,114.9213721,20201016,12:28:00,"C.IO.2","South-west","Yes",0,7.5,92.5,124512,0,0,0.00160590974787217,0,0.000802954873936085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200738718484021
"IO344",-34.0844,114.6744,20201023,09:28:00,"C.IO.14","South-west",NA,0,0,100,137690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145232735458572
"IO215",-34.06868897,114.9263721,20201016,12:34:00,"C.IO.2","South-west","Yes",0,7.5,92.5,139250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251283339914564
"IO125",-34.10868897,114.8263721,20201015,12:38:00,"C.IO.59","South-west","Yes",0,5,95,104383,0,0,0,0.0114928217750663,0,0,0,0.000957735147922194,0,0,0,0.00478867573961097,0.00287320544376658,0,0.00478867573961097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00383094059168877
"IO123",-34.10618897,114.8188721,20201015,12:42:00,"C.IO.59","South-west","Yes",0,5.55555555555556,94.4444444444444,105609,0,0,0,0.0104124267580436,0,0,0,0,0.000946584250731236,0,0,0.0132521795102373,0,0,0.00473292125365618,0,0,0,0,0,0,0,0,0,0,0,0.000946584250731236,0,0,0,0,0,0,0,0,0.00189316850146247
"IO132",-33.99118897,114.8713721,20201013,12:47:00,"C.IO.37","South-west","Yes",0,5,95,99724,0,0,0,0,0,0,0,0,0,0,0.00902255639097744,0.00300751879699248,0,0,0,0,0,0,0,0,0,0.00701754385964912,0,0.0050125313283208,0,0,0,0,0,0,0,0,0,0,0,0.00200501253132832
"IO225",-34.07118897,114.8338721,20201015,14:20:00,"C.IO.4","South-west","Yes",0,7.5,92.5,143650,0,0,0,0.00278386748790758,0,0,0,0.00626370184779204,0,0,0,0.0125274036955841,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000695966871976894,0,0,0,0,0,0,0,0,0,0.00208790061593068
"IO223",-34.07118897,114.8463721,20201015,14:25:00,"C.IO.4","South-west","Yes",0,7.5,92.5,83201,0,0,0,0.00360459946892234,0,0,0,0,0,0,0,0.0024030663126149,0,0,0.00120153315630745,0,0,0.0024030663126149,0,0,0,0.00120153315630745,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204260636572266
"IO16",-34.07368897,114.8688721,20201016,09:43:00,"C.IO.35","South-west",NA,0,0,100,106690,0,0,0,0.00093711929528629,0.00093711929528629,0,0,0.00093711929528629,0,0,0,0.00093711929528629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149939087245806
"IO224",-34.06118897,114.8388721,20201015,14:35:00,"C.IO.4","South-west","Yes",0,2.85714285714286,97.1428571428571,133705,0,0,0,0.0119639585747934,0,0,0,0.00149549482184918,0,0,0,0.00523423187647213,0,0,0.00074774741092459,0,0,0,0,0,0,0.00074774741092459,0,0,0,0.00074774741092459,0,0,0,0,0,0,0,0,0,0.00149549482184918
"IO353",-34.05436667,114.8390667,20201015,14:43:00,"C.IO.5","South-west","Yes",0,0,100,180993,0,0,0.00165717473802829,0,0,0,0,0.000552391579342764,0,0,0,0.000552391579342764,0,0,0.00883826526948423,0.00883826526948423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000552391579342764
"IO201",-34.05618897,114.8338721,20201015,14:46:00,"C.IO.5","South-west","Yes",0,11.4285714285714,88.5714285714286,121819,0,0,0,0.0123102174805088,0,0,0,0.00328272466146902,0,0,0,0.00164136233073451,0,0,0.00246204349610176,0,0,0,0,0,0,0.000820681165367255,0,0,0,0.000820681165367255,0,0,0,0,0,0,0,0,0,0.00410340582683627
"IO222",-34.06618897,114.8313721,20201015,14:54:00,"C.IO.4","South-west","Yes",0,2.77777777777778,97.2222222222222,105924,0,0,0,0.00566294170945334,0,0,0,0.00283147085472667,0,0,0,0.00755058894593778,0,0,0.00188764723648445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00849441256418001
"FH25",-33.87868897,114.8163721,20201013,07:34:00,"C.FH.16","South-west","Yes",0,2.63157894736842,97.3684210526316,63290,0,0,0.00315860958006286,0.00315860958006286,0,0,0,0.00315860958006286,0,0,0.00315860958006286,0.00473791437009428,0,0,0.00157930479003143,0,0,0,0,0,0,0.00789652395015714,0,0,0,0,0.00789652395015714,0,0,0,0,0,0,0,0,0.01105513353022
"FH42",-33.88118897,114.8113721,20201013,07:38:00,"C.FH.16","South-west","Yes",0,2.5,97.5,85802,0,0,0,0.0023299704093758,0,0,0,0.0011649852046879,0,0,0,0.0081548964328153,0,0,0.0174747780703185,0,0,0.0023299704093758,0,0,0,0.0069899112281274,0,0,0,0.0011649852046879,0,0,0,0,0,0,0,0,0,0.0023299704093758
"FH58",-33.66368897,114.8413721,20201012,07:47:00,"C.FH.1","South-west","Yes",0,5.12820512820513,94.8717948717949,69538,0,0,0.00143740117866897,0.0043122035360069,0,0,0,0.0086244070720138,0,0,0,0.00718700589334483,0,0,0,0,0,0,0,0,0,0.0043122035360069,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201236165013655
"FH9",-33.90118897,114.8513721,20201013,07:58:00,"C.FH.19","South-west","Yes",0,7.5,92.5,47930,0,0,0,0.00417066355257121,0.00417066355257121,0,0,0.00834132710514243,0,0,0,0.0125119906577136,0,0.00208533177628561,0,0,0,0,0,0,0,0,0,0,0,0.00208533177628561,0.00417066355257121,0,0,0,0,0,0,0,0,0.0125119906577136
"FH41",-33.67118897,114.8388721,20201012,08:01:00,"C.FH.1","South-west","Yes",0,5.55555555555556,94.4444444444444,76518,0,0,0,0.00522534291312867,0,0,0,0,0,0,0,0.0130633572828217,0,0,0,0,0,0,0,0,0,0.0195950359242325,0,0,0,0.00391900718484651,0,0,0,0,0,0,0,0,0,0
"FH16",-33.90118897,114.8563721,20201013,08:02:00,"C.FH.19","South-west","Yes",0,10,90,67701,0,0,0.00147634162545213,0.00590536650180852,0,0,0,0.0132870746290692,0,0,0,0.00442902487635639,0,0,0,0,0,0,0,0,0,0.0147634162545213,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103343913781649
"FH51",-33.90618897,114.8538721,20201013,08:06:00,"C.FH.19","South-west","Yes",0,5,95,91375,0,0,0,0.00328180893308392,0,0,0,0,0,0,0.00437574524411189,0.00328180893308392,0.00109393631102797,0,0.00109393631102797,0,0,0,0,0.00109393631102797,0,0.0218787262205594,0,0.00109393631102797,0,0,0,0,0,0,0,0,0,0,0,0.00437574524411189
"FH70",-33.67368897,114.8463721,20201012,08:07:00,"C.FH.1","South-west","Yes",0,7.5,92.5,70633,0,0,0,0.0028304957613326,0,0,0,0.00566099152266519,0,0,0,0.0014152478806663,0,0,0,0,0,0,0,0,0,0,0,0.00990673516466409,0,0,0,0,0,0,0,0,0,0,0,0.0169829745679956
"FH47",-33.90618897,114.8488721,20201013,08:09:00,"C.FH.19","South-west","Yes",0,8.10810810810811,91.8918918918919,82715,0,0,0,0.0108765272457008,0,0,0,0.0108765272457008,0,0,0.00120850302730008,0.00483401210920033,0,0,0.00362550908190025,0,0,0,0,0,0,0.00604251513650042,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00120850302730008
"FH63",-33.67868897,114.8163721,20201012,08:20:00,"C.FH.2","South-west","Yes",0,12.5,87.5,91204,0,0,0.00109603454700892,0,0,0,0,0.0131524145641071,0,0,0,0.00438413818803569,0,0,0.00109603454700892,0.00767224182906245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0098643109230803
"FH59",-33.66868897,114.8188721,20201012,08:32:00,"C.FH.2","South-west","Yes",0,20,80,9512,0,0,0.0209907640638119,0,0,0,0,0.0524769101595298,0,0,0,0.0314861460957179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0629722921914358
"IO336",-34.0924,114.8663667,20201016,10:03:00,"C.IO.6","South-west",NA,0,0,100,88179,0,0,0,0,0,0,0,0.00340166908563135,0,0,0,0.0090711175616836,0,0,0.00113388969521045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00113388969521045
"FHC03",-33.948622,114.819555,20201013,09:56:00,"C.FH.22","South-west","Yes",0,10,90,98123,0,0,0,0,0,0,0,0,0,0,0,0.00101890060624586,0,0,0.00203780121249172,0,0,0,0,0,0,0.0152835090936879,0,0,0,0.00101890060624586,0.00305670181873758,0,0,0,0,0,0,0,0,0
"FH68",-33.95118897,114.8288721,20201013,10:01:00,"C.FH.22","South-west","Yes",0,7.89473684210526,92.1052631578947,73186,0,0,0,0.0122922272149911,0,0,0,0.00956062116721526,0,0,0,0.00682901511943947,0,0,0.00546321209555158,0,0,0,0,0,0,0.00546321209555158,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00273160604777579
"FH99",-33.95368897,114.8363721,20201013,10:04:00,"C.FH.22","South-west","Yes",0,7.5,92.5,99675,0,0,0,0.00100292855137,0,0,0,0.01604685682192,0,0,0.00100292855137,0.00702049985959,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00100292855137,0.00200585710274,0,0,0,0,0,0,0,0,0.00501464275685
"FH89",-33.68618897,114.8013721,20201012,10:34:00,"C.FH.4","South-west","Yes",0,10,90,9155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10911074740862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FH45",-33.69368897,114.7988721,20201012,10:39:00,"C.FH.4","South-west","Yes",0,2.5,97.5,82925,0,0,0,0.00120553097611843,0,0,0,0.00843871683282902,0,0,0,0,0,0,0.0108497787850659,0,0,0,0,0,0,0.00482212390447373,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00602765488059216
"FH69",-33.69618897,114.8038721,20201012,10:43:00,"C.FH.4","South-west","Yes",0,7.5,92.5,86699,0,0,0,0.00807167648720639,0,0,0,0.00230619328205897,0,0,0,0.00345928992308845,0,0,0,0,0.00115309664102948,0,0,0,0,0.00576548320514742,0,0.00345928992308845,0,0.00230619328205897,0.00115309664102948,0,0,0,0,0,0,0,0,0
"FH65",-33.71368897,114.8188721,20201012,10:59:00,"C.FH.6","South-west","Yes",0,5,95,12863,0,0,0,0.0155255395124981,0.00776276975624903,0,0,0.0388138487812451,0,0,0,0.0232883092687471,0,0,0.0232883092687471,0,0,0,0,0,0,0,0,0,0,0.00776276975624903,0,0,0,0,0,0,0,0,0,0.0310510790249961
"FH10",-33.98618897,114.8863721,20201013,12:32:00,"C.FH.24","South-west","Yes",0,5,95,68348,0,0,0,0.0175489909330214,0,0,0,0.00877449546651068,0,0,0,0.0102369113775958,0,0,0,0,0,0,0,0,0,0.00731207955542556,0,0,0,0.00146241591108511,0,0,0,0,0,0,0,0,0,0.00146241591108511
"FH52",-33.99118897,114.8888721,20201013,12:36:00,"C.FH.24","South-west","Yes",0,12.5,87.5,82753,0,0,0,0.019326705883774,0,0,0,0,0,0,0,0,0,0,0.00120791911773588,0,0,0,0,0,0,0.00966335294188701,0,0,0,0.00120791911773588,0,0,0,0,0,0,0,0,0,0.00966335294188701
"FH74",-33.73118897,114.8063721,20201012,12:47:00,"C.FH.7","South-west","Yes",0,7.5,92.5,81533,0,0,0,0.00245212231186092,0.00122606115593046,0,0,0.00245212231186092,0,0,0,0.00122606115593046,0.00122606115593046,0,0,0,0,0,0,0,0,0.0171648561830264,0,0,0,0,0,0,0.00122606115593046,0,0,0,0,0,0,0.0085824280915132
"FH57",-33.78868897,114.8113721,20201012,13:12:00,"C.FH.12","South-west","Yes",0,8.10810810810811,91.8918918918919,91456,0.00109302757708577,0.00109302757708577,0,0.00437211030834308,0,0,0,0,0,0,0,0.00218605515417154,0.00109302757708577,0,0.00109302757708577,0,0,0.00109302757708577,0,0,0,0.00109302757708577,0.00546513788542885,0,0,0.00327908273125731,0,0,0,0,0,0,0,0,0,0.014209358502115
"FH106",-33.78868897,114.8163721,20201012,13:16:00,"C.FH.12","South-west","Yes",0,7.5,92.5,62572,0,0,0.00638947015318755,0.00319473507659377,0,0,0,0.00638947015318755,0,0,0,0.0175710429212658,0.00159736753829689,0,0.00479210261489066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00958420522978132
"IO157",-33.97118897,114.8238721,20201013,10:14:00,"C.IO.33","South-west",NA,0,0,100,74445,0,0,0,0,0,0,0,0,0,0,0,0.00402906297425429,0,0,0.0120871889227629,0,0,0,0,0,0,0,0,0,0,0,0.00268604198283619,0,0,0,0,0,0,0,0,0
"FH48",-33.79618897,114.8138721,20201012,13:23:00,"C.FH.12","South-west","Yes",0,15,85,7000,0,0,0,0,0,0,0,0.0285062713797035,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0427594070695553,0.0142531356898518,0.0285062713797035,0,0.0142531356898518,0.0997719498289624,0,0,0,0,0,0,0,0,0
"FH60",-33.81618897,114.8213721,20201012,15:14:00,"C.FH.13","South-west","Yes",0,5.26315789473684,94.7368421052632,75892,0,0,0.00395147587623978,0.00658579312706629,0,0,0,0,0,0,0,0.00790295175247955,0,0.00131715862541326,0,0,0,0,0,0,0,0.00131715862541326,0.00131715862541326,0.00526863450165303,0,0.00263431725082652,0,0,0,0,0,0,0,0,0,0.00790295175247955
"FH96",-33.81868897,114.8338721,20201012,15:20:00,"C.FH.13","South-west","Yes",0,5,95,99817,0,0,0,0.00100153234448707,0.00500766172243533,0,0,0.00200306468897413,0,0,0,0,0,0.00100153234448707,0.0030045970334612,0,0,0,0,0,0,0.00701072641140946,0,0,0,0.00400612937794826,0,0,0,0,0,0,0,0,0,0.00701072641140946
"FH56",-33.83118897,114.8663721,20201012,15:31:00,"C.FH.14","South-west","Yes",0,2.94117647058824,97.0588235294118,52299,0,0,0,0.0114661366763492,0,0,0,0,0,0,0.00573306833817459,0.0114661366763492,0,0,0,0,0,0,0,0,0,0.0133771594557407,0,0,0,0,0.00573306833817459,0,0,0,0,0,0,0,0,0.00764409111756612
"FH61",-33.84118897,114.8638721,20201012,15:43:00,"C.FH.14","South-west","Yes",0,7.5,92.5,87835,0,0,0,0,0,0,0,0.00796676719968133,0,0,0,0,0,0,0.0045524383998179,0,0,0,0,0,0,0.0147954247994082,0,0.00113810959995448,0,0.0045524383998179,0,0.00113810959995448,0,0,0,0,0,0,0,0
"IO241",-33.99368897,114.7913721,20201019,06:26:00,"C.IO.42","South-west","Yes",0,60,40,131834,0,0,0,0.000758374348746028,0,0,0,0.00151674869749206,0,0,0,0.000758374348746028,0,0,0.0159258613236666,0,0,0,0,0,0,0,0,0,0,0,0.00151674869749206,0,0,0,0,0,0,0,0,0
"IO229",-33.99368897,114.7863721,20201019,06:31:00,"C.IO.42","South-west","Yes",0,7.69230769230769,92.3076923076923,140065,0,0,0,0.0042826858150308,0,0,0,0,0,0,0,0.003568904845859,0,0,0.0092791525992334,0,0,0,0,0,0,0,0,0,0,0.0021413429075154,0,0,0,0,0,0,0,0,0,0.0049964667842026
"IO227",-33.99868897,114.7838721,20201019,06:37:00,"C.IO.42","South-west","Yes",0,7.5,92.5,133309,0,0,0,0.000749973750918718,0,0,0,0,0.00524981625643102,0,0,0,0,0,0.00524981625643102,0,0,0,0,0,0,0,0,0,0,0,0.00149994750183744,0,0,0,0,0,0,0,0,0.00899968501102461
"IO72",-34.03618897,114.8463721,20201019,09:05:00,"C.IO.60","South-west","Yes",0,3.84615384615385,96.1538461538462,156587,0,0,0,0.000638492136969333,0,0,0,0.000638492136969333,0,0,0.00893888991757067,0.007661905643632,0.000638492136969333,0,0.000638492136969333,0,0,0,0,0,0,0.000638492136969333,0,0.000638492136969333,0,0,0,0,0,0,0,0,0,0,0,0
"IO262",-34.01368897,114.8738721,20201019,09:46:00,"C.IO.19","South-west","Yes",0,7.5,92.5,143835,0,0,0,0,0,0,0,0,0,0,0.00208521581983735,0.0173767984986446,0,0,0.000695071939945784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00417043163967471
"IO65",-34.01118897,114.8888721,20201019,11:20:00,"C.IO.53","South-west","Yes",0,7.5,92.5,170888,0,0,0.00234026246043494,0.00468052492086988,0,0,0,0,0,0,0,0.00351039369065241,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000585065615108735,0,0,0,0,0,0,0,0,0,0.00819091861152228
"IO64",-34.01368897,114.8963721,20201019,11:26:00,"C.IO.47","South-west","Yes",0,5,95,149465,0,0,0,0.00133784633496997,0,0,0,0,0,0,0,0.0133784633496997,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000668923167484983,0,0,0,0,0,0,0,0,0,0.0040135390049099
"IO245",-34.00868897,114.9013721,20201019,11:30:00,"C.IO.47","South-west","Yes",50,0,50,100623,0,0,0.000993640699523052,0.00298092209856916,0,0,0,0.0019872813990461,0,0,0,0.00496820349761526,0,0,0,0,0,0,0,0,0,0.0019872813990461,0.000993640699523052,0,0,0,0,0,0,0,0.0019872813990461,0,0,0,0,0.000993640699523052
"IO261",-33.97618897,114.9213721,20201019,11:46:00,"C.IO.20","South-west","Yes",0,7.5,92.5,106264,0,0,0,0.00564530545806949,0,0,0,0.000940884243011582,0,0,0,0.000940884243011582,0,0,0,0,0,0,0,0,0,0,0,0.00376353697204633,0,0.00470442121505791,0,0,0,0,0,0,0,0,0,0.00188176848602316
"IO258",-33.96618897,114.9138721,20201019,12:05:00,"C.IO.20","South-west","Yes",0,0,100,107145,0,0,0.000933157899648199,0.0074652631971856,0,0.000933157899648199,0,0,0.0037326315985928,0,0,0.0027994736989446,0,0.000933157899648199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IO206",-34.06368897,114.7913721,20201015,10:28:00,"C.IO.7","South-west",NA,0,0,100,66786,0,0,0,0.00299410161980898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00149705080990449,0,0.00449115242971346,0,0,0,0,0,0,0,0,0,0.00898230485942693
"IO46",-34.06868897,114.7113721,20201023,06:44:00,"C.IO.34","South-west","Yes",0,5,95,199579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019036454810963
"IO47",-34.06368897,114.7113721,20201023,06:53:00,"C.IO.34","South-west","Yes",0,0,100,21161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330687830687831
"IO290",-34.06868897,114.7188721,20201023,07:07:00,"C.IO.13","South-west","Yes",0,4.8780487804878,95.1219512195122,147761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00135322575188606,0,0,0,0,0,0,0,0,0,0.0216516120301769
"IO302",-34.07118897,114.7238721,20201023,07:13:00,"C.IO.13","South-west","Yes",0,15,85,141929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218371372217526
"IO113",-34.05868897,114.7388721,20201023,07:30:00,"C.IO.31","South-west","Yes",0,7.5,92.5,116469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0283256939795025
"IO115",-34.05368897,114.7363721,20201023,07:34:00,"C.IO.31","South-west","Yes",0,2.5,97.5,108116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0268158490914975
"IO280",-34.08868897,114.6738721,20201023,09:24:00,"C.IO.14","South-west","Yes",0,2.5,97.5,140295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000712636469883983,0,0,0,0,0,0,0,0,0,0.0199538211567515
"IO105",-34.06368897,114.6688721,20201023,09:45:00,"C.IO.30","South-west","Yes",0,2.5,97.5,106395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000939575875449822,0,0.000939575875449822,0,0,0,0,0,0,0,0,0,0.0319455797652939
"IO107",-34.06368897,114.6763721,20201023,09:50:00,"C.IO.30","South-west","Yes",0,7.5,92.5,113236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0308993475823468
"IO108",-34.05118897,114.6688721,20201023,10:04:00,"C.IO.30","South-west","Yes",0,2.5,97.5,106406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0300644506661155
"IO101",-34.07868897,114.8963721,20201029,10:10:00,"C.IO.39","South-west","Yes",0,12.8205128205128,87.1794871794872,86074,0,0,0,0.00232288037166086,0,0,0,0,0,0,0.00348432055749129,0.0185830429732869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00232288037166086,0,0,0,0,0,0,0,0,0.00348432055749129
"IO102",-34.07118897,114.9113721,20201029,10:26:00,"C.IO.2","South-west","Yes",0,2.56410256410256,97.4358974358974,105745,0,0,0,0.00283604806156115,0.000945349353853717,0,0,0,0,0,0,0.00850814418468345,0,0,0,0,0,0.000945349353853717,0,0,0,0.0151255896616595,0,0,0,0.00283604806156115,0.000945349353853717,0,0,0,0,0.00189069870770743,0,0,0,0
"IO216",-34.06118897,114.9163721,20201029,10:33:00,"C.IO.3","South-west","Yes",0,2.85714285714286,97.1428571428571,132127,0,0,0.000756647145170321,0.00378323572585161,0,0,0,0.00529653001619225,0,0,0,0.00680982430653289,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00226994143551096,0,0,0,0,0,0,0,0,0,0.00756647145170321
"IO355",-34.05473333,114.9111,20201029,10:38:00,"C.IO.3","South-west","Yes",0,7.5,92.5,61794,0,0,0.00323556533415301,0,0,0,0,0,0,0,0,0.00161778266707651,0.00161778266707651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00161778266707651,0.0226489573390711
"IO211",-34.05618897,114.9063721,20201029,10:42:00,"C.IO.3","South-west","Yes",0,12.5,87.5,127410,0,0,0,0,0,0,0,0,0.00392332258342945,0,0,0.00470798710011535,0,0,0,0,0,0,0,0,0,0.0149086258170319,0,0,0,0,0.00235399355005767,0,0,0,0,0,0,0,0,0
"IOC05",-34.05394,114.899843,20201029,10:46:00,"C.IO.3","South-west","Yes",0,25,75,124356,0,0,0,0.000804026565037709,0,0,0,0.00402013282518854,0,0,0,0.00562818595526396,0,0,0,0,0,0.00160805313007542,0,0,0,0,0,0,0,0,0.000804026565037709,0,0,0,0,0,0,0,0,0.00160805313007542
